sample_id,A_cov_ref,A_cov_gen,signature_ref,signature_gen
18240,0.179258,0.066352,ALIGNED,MIXED
5749,0.074037,-0.012636,MIXED,MIXED
40132,0.250543,0.133157,ALIGNED,ALIGNED
70685,0.087705,0.078113,MIXED,MIXED
42657,0.119865,0.01342,ALIGNED,MIXED
37814,0.144847,0.034892,ALIGNED,MIXED
7827,0.13178,0.018647,ALIGNED,MIXED
37719,0.123047,0.032183,ALIGNED,MIXED
34135,0.207843,0.090276,ALIGNED,MIXED
46180,0.073432,0.025711,MIXED,MIXED
13133,0.117507,0.036598,ALIGNED,MIXED
37431,0.15078,0.038432,ALIGNED,MIXED
53054,0.245471,0.019314,ALIGNED,MIXED
57136,0.205726,0.053035,ALIGNED,MIXED
24847,0.082794,-0.00486,MIXED,MIXED
24397,0.198703,0.010521,ALIGNED,MIXED
48833,0.191338,-0.023713,ALIGNED,MIXED
12105,0.064185,0.094979,MIXED,MIXED
47347,0.061774,-0.011922,MIXED,MIXED
23287,0.05947,-0.019111,MIXED,MIXED
20029,0.18426,0.028665,ALIGNED,MIXED
55003,0.094112,0.210859,MIXED,ALIGNED
56340,0.12318,0.111477,ALIGNED,ALIGNED
35940,0.235499,0.042088,ALIGNED,MIXED
9153,0.228234,-0.012707,ALIGNED,MIXED
39467,0.059546,0.042786,MIXED,MIXED
56869,0.299573,0.037197,ALIGNED,MIXED
1826,0.126841,0.003789,ALIGNED,MIXED
65484,0.103799,-0.017747,ALIGNED,MIXED
13210,0.08221,0.012941,MIXED,MIXED
44656,0.173866,0.024797,ALIGNED,MIXED
58649,0.143574,-0.039014,ALIGNED,MIXED
22522,0.067316,0.02242,MIXED,MIXED
6128,0.170562,0.0292,ALIGNED,MIXED
47162,0.237954,0.036107,ALIGNED,MIXED
25183,0.083914,-0.016624,MIXED,MIXED
32353,0.226262,-0.004837,ALIGNED,MIXED
61666,0.108619,0.045879,ALIGNED,MIXED
56542,0.217556,0.004303,ALIGNED,MIXED
385,0.101885,0.055534,ALIGNED,MIXED
65092,0.07781,0.036309,MIXED,MIXED
26952,0.107013,0.013036,ALIGNED,MIXED
39731,0.187493,0.060747,ALIGNED,MIXED
62158,0.089398,0.024318,MIXED,MIXED
26414,0.073356,0.081247,MIXED,MIXED
60296,0.166332,0.160016,ALIGNED,ALIGNED
17315,0.090538,0.013272,MIXED,MIXED
52209,0.042137,0.009341,MIXED,MIXED
6609,0.114177,0.071288,ALIGNED,MIXED
16443,0.222242,0.031286,ALIGNED,MIXED
19116,0.146096,0.067605,ALIGNED,MIXED
42279,0.139041,0.030567,ALIGNED,MIXED
23305,0.181495,0.076288,ALIGNED,MIXED
25658,0.101641,-0.015197,ALIGNED,MIXED
64815,-0.002038,-0.002638,MIXED,MIXED
20847,0.140724,0.095505,ALIGNED,MIXED
49297,0.268551,-0.023061,ALIGNED,MIXED
1416,0.119229,0.018707,ALIGNED,MIXED
26565,0.123559,-0.011141,ALIGNED,MIXED
31457,0.112435,0.039347,ALIGNED,MIXED
70579,0.143412,0.086913,ALIGNED,MIXED
10215,0.284199,0.02735,ALIGNED,MIXED
66783,0.151774,-0.032079,ALIGNED,MIXED
53751,0.153552,-0.023724,ALIGNED,MIXED
43448,0.128096,0.005599,ALIGNED,MIXED
6993,0.209471,0.030962,ALIGNED,MIXED
67159,0.173547,0.017298,ALIGNED,MIXED
50493,0.159986,0.014063,ALIGNED,MIXED
45709,0.140756,0.047545,ALIGNED,MIXED
6007,0.072706,0.0627,MIXED,MIXED
48313,0.202573,0.091829,ALIGNED,MIXED
70815,0.254076,0.025656,ALIGNED,MIXED
11015,0.189082,0.03302,ALIGNED,MIXED
31877,0.052263,0.078985,MIXED,MIXED
14732,0.222494,0.021168,ALIGNED,MIXED
21865,0.161201,0.041439,ALIGNED,MIXED
29461,0.186778,0.080478,ALIGNED,MIXED
67959,0.219183,0.089977,ALIGNED,MIXED
30360,0.116395,0.146744,ALIGNED,ALIGNED
27251,0.032675,0.024762,MIXED,MIXED
10187,0.051477,0.036591,MIXED,MIXED
1013,0.149921,-0.002221,ALIGNED,MIXED
42389,0.061323,0.006873,MIXED,MIXED
45193,0.133301,-0.010001,ALIGNED,MIXED
11692,0.097235,0.084761,MIXED,MIXED
58559,0.147719,-0.011272,ALIGNED,MIXED
50711,0.100066,-0.010225,ALIGNED,MIXED
13025,0.128203,0.027727,ALIGNED,MIXED
65558,0.108313,0.088793,ALIGNED,MIXED
31649,0.162335,0.018042,ALIGNED,MIXED
56825,0.085171,0.060461,MIXED,MIXED
58507,0.051829,-0.013701,MIXED,MIXED
10999,0.1577,0.031348,ALIGNED,MIXED
30046,0.148245,-0.004022,ALIGNED,MIXED
27631,0.069509,0.08942,MIXED,MIXED
2233,0.191015,0.016921,ALIGNED,MIXED
5738,0.117824,0.029776,ALIGNED,MIXED
22621,0.120099,0.12337,ALIGNED,ALIGNED
42027,0.207236,0.039064,ALIGNED,MIXED
40378,0.059279,0.088671,MIXED,MIXED
26542,0.156848,0.11684,ALIGNED,ALIGNED
11044,0.209779,0.085947,ALIGNED,MIXED
30300,0.096485,0.050045,MIXED,MIXED
3257,0.077671,-0.019683,MIXED,MIXED
67056,0.083369,0.093117,MIXED,MIXED
31568,0.232739,0.018458,ALIGNED,MIXED
20882,0.100062,0.080839,ALIGNED,MIXED
22570,0.134108,0.069582,ALIGNED,MIXED
71847,0.089107,-0.004175,MIXED,MIXED
4225,0.066805,0.070047,MIXED,MIXED
39428,0.122091,0.061329,ALIGNED,MIXED
68019,0.087523,0.055411,MIXED,MIXED
67474,0.109168,0.086347,ALIGNED,MIXED
58733,0.052812,0.024271,MIXED,MIXED
19083,0.181405,0.007819,ALIGNED,MIXED
35909,0.04758,0.063292,MIXED,MIXED
55431,0.115808,0.177442,ALIGNED,ALIGNED
30509,0.197815,0.041336,ALIGNED,MIXED
2718,0.227562,-0.006584,ALIGNED,MIXED
54510,0.233772,0.053415,ALIGNED,MIXED
39581,0.141173,0.148227,ALIGNED,ALIGNED
48378,0.118494,0.005713,ALIGNED,MIXED
6140,0.141033,0.031192,ALIGNED,MIXED
7505,0.13428,-0.011106,ALIGNED,MIXED
13662,0.07522,0.090482,MIXED,MIXED
